Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
"Regarding MITRE ATT&CK Technique ID T1597, which of the following is a primary objective of this technique?",Impersonating a user,Compromising a host,Manipulating data,Gaining persistence,B,
Identify the correct MITRE ATT&CK Enterprise technique used to escalate privileges by modifying registry keys.,Registry Manipulation,Modify Registry,Create Symbolic Link,Access Token Manipulation,B,
MITRE ATT&CK ICS (Industrial Control Systems) Technique ID T1494 involves which of the following actions?,Manipulating HMI settings,Blocking access to network resources,Injecting malicious commands into controllers,Exploiting PLC vulnerabilities,A,
"In relation to MITRE ATT&CK Mobile Technique ID T1023, which of the following is a common indicator of compromise?",Unexpected messages or emails,Unusual battery drain,Installation of unknown applications,All of the above,D,"T1023 is a technique where an attacker abuses or utilizes mobile permissions to perform malicious actions or bypass security controls. This can result in unexpected messages or emails, unusual battery drain, and the installation of unknown applications without user consent."
"With regards to MITRE ATT&CK Enterprise Technique ID T1489, which of the following is a typical defense measure?",,,,,D,
"According to MITRE ATT&CK, which category of techniques deals with modifying or disabling defensive mechanisms to avoid detection?",Discovery,Defense Evasion,Persistence,Privilege Escalation,B,"T1119.002 (Indicator Removal on Host) falls under the Defense Evasion category, which includes techniques for evading security controls and detection mechanisms."
Which of the following is a common approach used by adversaries to hide malicious payloads within legitimate files?,Base64 encoding,Static linking,Runtime code injection,Binary obfuscation,A,"T1544.001 (Obfuscated Files or Information) involves the use of techniques like Base64 encoding to conceal malicious content within legitimate files, making it harder for security systems to detect."
"In the context of insider attacks, which of the following is NOT a common motivation?",Financial gain,Espionage,Personal vendetta,System improvement,D,"Insider attacks are typically driven by malicious intent, including financial gain, espionage, or personal vendetta. System improvement is not a common motivation for insider threats."
Which of the following is a key challenge in securing Industrial Control Systems (ICS)?,Lack of visibility into OT assets,Limited patching capabilities,High connectivity between devices,All of the above,D,"Securing ICS environments poses unique challenges due to the combination of lack of visibility into OT assets, limited patching capabilities, and the high connectivity between devices, increasing the risk of cyber attacks."
Phishing attacks typically target which of the following to compromise user credentials?,Email accounts,Social media profiles,Bank accounts,All of the above,D,
"In the context of ICS, which technique involves the exfiltration of information via a command and control channel established by malware?",Credential Harvesting,Command and Control,Data Exfiltration,Lateral Movement,B,T1566 refers to the use of a command and control channel for data exfiltration in ICS environments.
Which technique in Mobile ATT&CK allows attackers to discover and list files and directories on a targeted mobile device?,Abuse Elevation Prevention Mechanisms,File and Directory Discovery,Local File System Access,Kernel Object Manipulation,B,T1134 involves the discovery and listing of files and directories on a mobile device by leveraging native features or tools.
"In Enterprise ATT&CK, which technique targets the command shell or scripting interpreter to execute commands?",Command and Scripting Interpreter,Command-Line Interface,Windows Management Instrumentation,Powershell,A,"T1059 refers to the use of a command shell or scripting interpreter, such as PowerShell or the Bash shell, to execute commands and perform various malicious activities."
"Which technique in ICS ATT&CK is aimed at gathering information about the targeted ICS system, including its hardware and software components?",Credential Harvesting,System Information Discovery,Reconnaissance,Process Discovery,B,"T1598 involves the active discovery and enumeration of system information, such as network interfaces, processes, and installed software, within an ICS environment."
"In Mobile ATT&CK, which technique involves loading or modifying kernel modules to gain increased privileges or bypass security measures?",Kernel Exploit,Kernel Modules and Extensions,Privilege Escalation,Lateral Movement,B,
Which MITRE ATT&CK pattern technique (ID and full name) involves the use of phishing emails to trick users into providing sensitive information? (Enterprise),T1566 - Credential Harvesting,T1193 - Phishing,T1482 - Password Spraying,T1531 - Port Scanning,B,T1193 (Phishing) is the MITRE ATT&CK pattern technique that involves the use of phishing emails to trick users into providing sensitive information.
Which of the following is a key benefit of using the NIST Cybersecurity Framework (CSF)? (Enterprise),It provides a comprehensive cybersecurity risk management roadmap,It ensures compliance with all relevant cybersecurity regulations,It guarantees protection against all types of cyber threats,It eliminates the need for additional security controls,A,"The NIST CSF provides a comprehensive cybersecurity risk management roadmap that helps organizations identify, prioritize, and mitigate cybersecurity risks."
Which MITRE ATT&CK pattern technique (ID and full name) involves the use of malicious software that spreads across a network and exploits vulnerabilities? (ICS),T1055 - Network Share Discovery,T1068 - Remote Access Software,T1105 - Exploitation for Client Execution,T1098 - PowerShell,C,T1105 (Exploitation for Client Execution) is the MITRE ATT&CK pattern technique that involves the use of malicious software that spreads across a network and exploits vulnerabilities in order to execute arbitrary code on targeted systems.
Which of the following is a recommended practice for implementing the CSF? (Mobile),Conducting regular vulnerability assessments and penetration testing,Deploying a next-generation firewall (NGFW),Using a single password for all accounts,Disabling all security updates,A,The CSF recommends conducting regular vulnerability assessments and penetration testing to identify and mitigate security risks.
Which MITRE ATT&CK pattern technique (ID and full name) involves the use of a keylogger to capture user keystrokes? (Enterprise),T1056 - Input Capture,T1205 - Data from Local System,T1074 - Data Exfiltration,T1484 - Data Encrypted for Impact,A,
Which technique ID is associated with the technique that allows attackers to bypass network security policies by exploiting legitimate functionality?,T1574,T1197,T1219,T1528,A,T1574 (Bypass Network Policies and Security Software) involves circumventing network security to access unauthorized resources.
Which technique is used to gain initial access to an ICS network by exploiting weak physical security?,Tailgating,Social Engineering,Phishing,SQL Injection,A,Tailgating (T1094) allows an attacker to physically access a secure area by following an authorized person through a secured door.
MITRE ATT&CK (Mobile): Which technique involves attackers exploiting vulnerabilities in mobile application code to execute arbitrary code on a device?,Code Injection,Data Exfiltration,Credential Access,Privilege Escalation,A,"Code Injection (T1066) grants attackers access to the internals of a mobile application, enabling them to manipulate its behavior."
Which of the following is a key principle of the NIST Cybersecurity Framework (CSF)?,Risk Prioritization,Risk Assessment Only,Threat Detection Only,Vulnerability Management Only,,"The CSF emphasizes prioritizing cybersecurity risks based on their potential impact, ensuring that resources are allocated appropriately."
"According to the CSF, which function is responsible for ensuring that cybersecurity risk is managed throughout an organization?",Identify,Protect,Detect,Respond,,
Which MITRE ATT&CK technique (ID and name) involves exploiting a vulnerability in a server to compromise remote systems?,"T1190, Exploit Public-Facing Application","T1191, Exploit Remote Services","T1192, Exploit Local User or Group","T1193, Exploit Misconfiguration",B,"T1191 (Exploit Remote Services) pertains to using known vulnerabilities in remote services, such as servers, to gain access to systems and compromise them."
"According to the NIST Cybersecurity Framework, which of the following is NOT a subcategory under the Protect Function?",Identity Management and Access Control,Data Protection,Situational Awareness,Risk Assessment,C,"Situational Awareness is a subcategory under the Detect Function, not the Protect Function."
Which MITRE ATT&CK technique (ID and name) describes the adversary's use of spear-phishing emails to target specific individuals within an organization?,"T1566, Phishing for Information","T1567, Phishing for Credentials","T1568, Phishing for Initial Access","T1569, Phishing for Fraud",C,T1568 (Phishing for Initial Access) is specifically designed to gain initial access to systems or networks through the use of spear-phishing emails.
Which of the following is a key principle of the NIST Cybersecurity Framework for Industrial Control Systems (ICS)?,Cybersecurity should be integrated into all aspects of ICS operations.,ICS security should be based on a risk-based approach.,ICS security should prioritize safeguarding critical assets.,All of the above,D,All three options represent key principles of the NIST Cybersecurity Framework for ICS.
Which of the following is a recommended practice under the NIST Cybersecurity Framework's Identify Function?,Performing vulnerability assessments,Creating an asset inventory,Implementing security controls,Monitoring for security incidents,B,
"In the context of Enterprise ATT&CK, which technique involves using a complex and redundant encoding mechanism to make it difficult for analysts to understand malicious code?",T1583 - Obfuscation/Deobfuscation,T1056 - Input Validation,T1522 - Modify Registry,T1018 - Remote File Copy,A,Obfuscation/Deobfuscation techniques seek to conceal malicious code by employing sophisticated encryption or encoding algorithms.
"According to ICS ATT&CK, which technique involves modifying data or configurations to cause an operational impact upon decryption?",T1484 - Data Encrypted for Impact,T1094 - Credential Dumping,T1190 - Remote Desktop Protocol (RDP),T1560 - Steal Web Session Cookie,A,"Data Encrypted for Impact aims to encrypt critical data or configurations, rendering them inaccessible until the decryption key is acquired, causing operational disruptions."
"In Mobile ATT&CK, which technique describes exploiting a vulnerability in a component of a mobile device to establish remote access?",T1223 - Lateral Movement: Exploit Remote Services,T1078 - Valid Accounts,T1452 - Download and Execute,T1556 - Capture Audio,A,"Exploiting Remote Services involves identifying and taking advantage of vulnerabilities in network-facing components of a mobile device, enabling attackers to establish remote control over the device."
Which of the following is NOT a benefit of using the NIST Cybersecurity Framework (CSF)?,Provides a structured approach to cybersecurity risk management,Helps organizations comply with regulatory requirements,Guarantees complete protection against all cyber threats,Facilitates stakeholder communication and coordination,C,"While the CSF offers numerous benefits, it does not guarantee absolute protection against all cybersecurity threats, as threats are constantly evolving."
"The CSF's ""Core"" component comprises how many functions?",4,5,6,7,B,
Which of the following is a common method used in password cracking?,Dictionary attack,Brute force attack,Rainbow table attack,All of the above,D,"All of the listed methods are commonly used in password cracking. Dictionary attacks use a list of common passwords, brute force attacks try every possible password combination, and rainbow table attacks pre-compute hashes for common passwords."
Which of the following industries is a prime target for device firmware modification attacks?,Healthcare,Manufacturing,Finance,Education,B,"Manufacturing industries rely heavily on industrial control systems (ICS), which are often vulnerable to firmware modification attacks that could disrupt operations or cause physical damage."
What is a key challenge when detecting lateral movement via local network credentials?,Identifying valid logins from malicious credential reuse,Tracking user activity across multiple network segments,Determining the source of the credential compromise,Preventing the attacker from gaining privileged access,A,"Distinguishing between legitimate logins and malicious credential reuse can be difficult, especially in environments with multiple users and complex network configurations."
Which of the following is a common misconfiguration that can expose ICS systems to remote access from the internet?,Leaving remote desktop protocol (RDP) ports open,Exposing internal IP addresses on the web,Failing to patch known vulnerabilities,Using default administrative credentials,B,"Exposing internal IP addresses on the web allows attackers to discover and target ICS systems directly from the internet, bypassing external firewalls and other security measures."
Which of the following is a potential indicator of compromise (IOC) for file deletion?,Presence of a specific malware binary,Unexplained changes in file properties,Creation of new files in unexpected locations,Network traffic to known malicious domains,B,
Which of the following techniques describes an adversary's attempt to manipulate the system time to evade detection or disrupt time-based security controls?,System Time Manipulation,Memory Modification,Registry Modification,File Deletion,A,System Time Manipulation involves modifying the system time to bypass time-based controls or to create gaps in logging data.
Which of the following methods can be used by an adversary to gain illegitimate access to a mobile device?,Social Engineering,Brute Force,Side Channel Attacks,Use of Legitimate Credentials,"A, B, D","Multiple techniques can be used to gain access to mobile devices, including social engineering, brute force attacks for weak passwords, and the use of legitimate credentials acquired through phishing or social engineering."
 Which of the following is a key indicator of an adversary targeting an industrial control system (ICS) environment?,Unusual network activity on the human-machine interface (HMI),Unfamiliar IP addresses connecting to critical control systems,Presence of unexpected or unauthorized software,All of the above,D,"ICS environments are highly specialized, and any unusual or unauthorized activity can be an indicator of a cyberattack."
Which of the following is a method used by adversaries to avoid detection by endpoint security solutions?,Process Injection,Rootkit Installation,Privilege Escalation,Network Reconnaissance,"A, B",Process Injection and Rootkit Installation are both techniques that allow adversaries to bypass endpoint security mechanisms and execute malicious code on the target system.
Which of the following is a common phishing tactic used by adversaries to trick mobile users into providing sensitive information?,Sending emails that appear to be from legitimate organizations,Embedding malicious links or attachments in text messages,Creating fake websites that mimic legitimate ones,All of the above,D,
Which MITRE ATT&CK pattern technique is used to modify the Registry to alter system behavior (Enterprise)?,Modify Registry,Modify Profile,Modify DNS,Modify Hosts File,A,MITRE ATT&CK pattern technique T1062 (Modify Registry) is used to alter registry settings to modify system behavior or functionality.
"According to NIST CSF, which function is responsible for developing and communicating policies and procedures for cybersecurity risk management?",Protect,Detect,Identify,Respond,A,The Protect function in NIST CSF involves developing and communicating policies and procedures to safeguard systems and assets from cybersecurity risks.
"In an ICS environment, which of the following is a potential vulnerability that could be exploited using the Bypass User Account Control technique (Enterprise/ICS)?",Insufficient software patching,Misconfigured authentication protocols,Lack of physical security measures,Outdated operating system,B,"The Bypass User Account Control technique (T1088) exploits vulnerabilities in authentication protocols, allowing attackers to bypass user account controls and gain elevated privileges."
Which MITRE ATT&CK pattern technique is used to perform malicious cryptomining on mobile devices (Mobile)?,Abuse Existing Functionality,Reflected File Download,Remote Desktop Protocol,Man-in-the-Middle,A,"Malicious cryptomining falls under the MITRE ATT&CK pattern technique T1193 (Abuse Existing Functionality), where attackers exploit legitimate OS or application features for malicious purposes."
Which NIST CSF category focuses on identifying and reporting cybersecurity incidents and breaches?,Detect,Respond,Recover,Identify,A,
Which technique involves gaining initial access to a system through phishing campaigns that exploit trusted relationships or impersonate legitimate sources?,Spear Phishing,Ransomware,Supply Chain Compromise,Web Application Attacks,,"Spear Phishing (T1566) involves sending targeted emails that appear to originate from trusted sources, tricking users into clicking malicious links or opening attachments."
Which technique involves manipulating HMI or control system interfaces to gain unauthorized control over industrial processes?,ICS Attack Tools,Physical Access,Direct Communication,Modbus Manipulation,,"Modbus Manipulation (T1040) involves using the Modbus protocol to access and control industrial control systems directly, without requiring physical access or ICS-specific attack tools."
"As per the NIST Cybersecurity Framework, which of the following is a core function of the Framework?",Identify and prioritize risks,Develop and implement controls,Monitor and evaluate cybersecurity posture,All of the above,,"The NIST Cybersecurity Framework identifies four core functions: Identify, Protect, Detect, Respond, and Recover. All of the options listed fulfill these core functions."
"Which technique involves intercepting or modifying communications between a mobile device and a server, often through a malicious application?",Man-in-the-Middle Attacks,Reconnaissance,Masquerading,Lateral Movement,,"Man-in-the-Middle Attacks (T1596) involve intercepting communications between a mobile device and a server, allowing attackers to read, modify, or block data in transit."
"According to the NIST Cybersecurity Framework, which of the following is an essential characteristic of effective cybersecurity risk management?",Proactive and continuous,Reactive and episodic,,Based solely on compliance regulations,,
"Which MITRE ATT&CK technique, under the Reconnaissance category, involves gathering information about an organization's external infrastructure?
",Ping Scan,Vulnerability Scanning,Credential Harvesting,OSINT Gathering,A,
"Within the C2 category of MITRE ATT&CK (ICS Platform), which technique enables an attacker to maintain persistence on a victim system by installing a web shell?",Command and Scripting Interpreter,Remote Access Trojan,Remote Desktop Protocol,Remote File Transfer,A,"Command and Scripting Interpreter (T1059) is a C2 technique that involves using a command or scripting interpreter, such as PowerShell or Bash, to execute commands and scripts on a compromised system. An attacker may use this technique to install and maintain a web shell for remote access and control."
"According to the NIST Cybersecurity Framework, which function within the Identify subcategory of Identify, Protect, Detect, Respond, and Recover is responsible for using threat intelligence to assess vulnerabilities?",Vulnerability Assessment,Threat Hunting,Security Awareness Training,Risk Assessment,A,Vulnerability Assessment (ID.RA-3) is a function under the Identify subcategory that involves using threat intelligence to identify and assess vulnerabilities that could allow attackers to exploit an organization's systems or assets.
"In the context of MITRE ATT&CK (Mobile Platform), which technique, under the Collection category, involves intercepting and exfiltrating user data from an application's internal storage?",File and Directory Discovery,Data Exfiltration,Clipboard Data,Keylogging,B,Data Exfiltration (T1049) is a Collection technique that involves extracting and sending sensitive data from a compromised mobile device to a remote location controlled by an attacker.
"Which MITRE ATT&CK technique, under the Persistence category, involves establishing a covert channel between the attacker and the com",Bootkit,User Execution,Scheduled Task,Registry Run Keys / Startup Folder,B,
"According to MITRE ATT&CK (Enterprise), which technique involves transferring of data between privileged and non-privileged accounts?",Lateral Movement (T1105),Pass-the-Ticket (T1105),Access Token Manipulation (T1092),Resource Hijacking (T1107),B,Pass-the-Ticket (T1105) involves the lateral movement of data between privileged and non-privileged accounts by using stolen or intercepted authentication credentials.
"In the context of MITRE ATT&CK (ICS), which technique primarily targets Programmable Logic Controllers (PLCs)?",ICS Scanning (T1595),ICS Phishing (T1598),PLC Exploit (T1580.007),ICS Brute Force Access (T1618),C,"PLC Exploit (T1580.007) specifically targets and exploits vulnerabilities in PLCs, which are commonly used in industrial control systems."
Which of the following is a key principle of the NIST Cybersecurity Framework's Identify function?,Monitoring all network traffic,Identifying internal and external threats,Establishing comprehensive security controls,Implementing a security baseline,B,The Identify function emphasizes understanding and identifying internal and external threats to the organization's information systems.
"According to MITRE ATT&CK (Mobile), which technique involves harvesting user credentials from a compromised mobile device?",Credential Access (T1508),Phishing (T1566),Data Collection (T1205),Lateral Movement (T1509),A,"Credential Access (T1508) specifically targets mobile devices to harvest user credentials, such as usernames and passwords, for malicious purposes."
Which of the following is a key component of the NIST Cybersecurity Framework's Protect function?,Implementing physical security controls,Identifying and mitigating vulnerabilities,Establishing recovery plans and procedures,Conducting regular security assessments,B,The Protect function emphasizes identifying and mitigating vulnerabilities in the organization's information systems to prevent or limit the impact of cyber threats.
"Which technique, identified by ID T1619.001, involves reconnaissance to collect information about a target's network and system configurations?",Brute Force,Credential Dumping,Reconnaissance,File Manipulation,C,T1619.001 Reconnaissance pertains to gathering information about the target's network infrastructure and its configuration.
"In the context of industrial control systems, which technique (ID T1132) aims to compromise a network through physical means?",Lateral Movement,User Execution,Direct Access,Persistence,C,"T1132 Direct Access focuses on establishing physical access to target systems, allowing adversaries to manipulate devices, bypass security controls, and gain unauthorized access."
"Based on the NIST Cybersecurity Framework, which sub-category of the Protect Function involves implementing security controls to prevent unauthorized access to sensitive information?",Access Control,Security Continuous Monitoring,Protective Technology Implementation,Vulnerability Management,A,The Protect Function's Access Control sub-category encompasses the implementation of security mechanisms to restrict unauthorized access to assets and information.
"Which technique (ID T1581.001) pertains to the use of SMS or MMS messages to exfiltrate data without leaving a noticeable trace on the device?
",Command and Control,Exfiltration Over Command and Control,Lateral Movement,Persistence,B,T1581.001 Exfiltration Over Command and Control focuses on stealthily extracting data via SMS or MMS instead of utilizing more prominent methods like email or file transfer.
Which NIST Cybersecurity Framework core function is primarily responsible for incident detection and response coordination?,Protect,Detect,Respond,Identify,B,
Which of the following MITRE ATT&CK pattern techniques involves modifying data structures to bypass security controls?,Input Validation,Lateral Movement,Credential Access,Resource Hijacking,A,"Input Validation (T1110) modifies user-supplied input to bypass security measures, potentially allowing the attacker to manipulate or corrupt data structures."
"A threat actor has compromised an industrial control system (ICS) network. Which of the following MITRE ATT&CK pattern techniques is most likely being used to target the ICS's Supervisory Control and Data Acquisition (SCADA) system?
",Spearphishing,Exploitation of Remote Services,Resource Development,Network Service Reconnaissance,B,"Exploitation of Remote Services (T1190) involves exploiting vulnerabilities in remote services, such as SCADA systems, to gain unauthorized access to the underlying network."
An attacker has gained access to a mobile device and is attempting to exfiltrate data without triggering security alerts. Which of the following MITRE ATT&CK pattern techniques is being used?,File and Directory Discovery,Exfiltration Over Command and Control Channel,Credential Dumping,Process Discovery,B,"Exfiltration Over Command and Control Channel (T1048) allows attackers to covertly transmit sensitive data over an established command and control channel, evading detection by security mechanisms."
"Which NIST Cybersecurity Framework Subcategory addresses the establishment of roles and responsibilities for cybersecurity management?
",Risk Management,Governance,Identity Management and Access Control,Configuration Management,B,"The Governance Subcategory (PR.GO) defines the roles and responsibilities for managing cybersecurity, ensuring that there is clear accountability and decision-making authority."
"In the context of the NIST Cybersecurity Framework, which of the following is the recommended approach to cybersecurity risk assessment?
","Use of static, predetermined risk levels","Periodic, threat-led assessments","Continual, real-time monitoring",Risk assessment performed only upon major changes,B,
Which MITRE ATT&CK technique involves modifying properties of a file to bypass access control mechanisms?,File and Directory Permissions Modification,Symbolic Link Creation,Resource Hijacking,Create or Modify System Process,A,This technique (T1074) involves modifying file permissions to allow unauthorized users to access or modify restricted resources.
