row_number	total_rows	total_tokens	HARM_CATEGORY_SEXUALLY_EXPLICIT	HARM_CATEGORY_HATE_SPEECH	HARM_CATEGORY_HARASSMENT	HARM_CATEGORY_DANGEROUS_CONTENT
1336	3992	81	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1337	3992	94	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1338	3992	90	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1339	3992	100	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1340	3992	75	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1341	3992	81	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1342	3992	99	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1343	3992	79	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1344	3992	78	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1345	3992	96	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1346	3992	110	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE
1347	3992	119	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE
1348	3992	94	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1349	3992	85	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1350	3992	107	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1351	3992	115	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1352	3992	84	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1353	3992	90	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1354	3992	99	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE
1355	3992	80	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1356	3992	82	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1357	3992	130	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE
1358	3992	95	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1359	3992	100	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1360	3992	94	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1361	3992	80	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1362	3992	103	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1363	3992	92	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1364	3992	85	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1365	3992	82	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1366	3992	77	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1367	3992	97	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1368	3992	92	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1369	3992	81	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1370	3992	83	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1371	3992	78	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1372	3992	94	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1373	3992	91	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1374	3992	106	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1375	3992	113	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1376	3992	116	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1377	3992	103	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1378	3992	111	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1379	3992	113	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1380	3992	107	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1381	3992	122	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1382	3992	112	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1383	3992	111	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1384	3992	114	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE
1385	3992	125	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1386	3992	91	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1387	3992	109	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1388	3992	102	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE
1389	3992	86	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1390	3992	87	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1391	3992	91	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1392	3992	87	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1393	3992	87	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1394	3992	87	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1395	3992	86	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1396	3992	89	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1397	3992	87	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1398	3992	86	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1399	3992	82	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1400	3992	85	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1401	3992	82	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1402	3992	81	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1403	3992	90	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1404	3992	83	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1405	3992	83	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1406	3992	84	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1407	3992	86	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1408	3992	85	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1409	3992	85	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1410	3992	84	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1411	3992	85	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1412	3992	90	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1413	3992	87	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1414	3992	94	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1415	3992	106	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE
1416	3992	87	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1417	3992	96	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE
1418	3992	83	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1419	3992	123	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	MEDIUM
1420	3992	103	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1421	3992	93	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1422	3992	75	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1423	3992	72	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1424	3992	72	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1425	3992	76	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	HIGH
1426	3992	110	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1427	3992	114	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1428	3992	119	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1429	3992	106	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1430	3992	118	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1431	3992	92	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	LOW
1432	3992	100	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE	NEGLIGIBLE
